date,season,week,season_type,away_team,away_conference,home_team,home_conference,away_points,home_points,neutral,conference_game,venue,notes
2007-08-31,2007,1,regular,Minnesota State Mankato,,Northern Iowa,MVFC,14,41,FALSE,FALSE,UNI-Dome,
2007-08-31,2007,1,regular,Weber State,Big Sky,Boise State,Western Athletic,7,56,FALSE,FALSE,Albertsons Stadium,
2007-08-31,2007,1,regular,Western New Mexico,,Northern Arizona,Big Sky,0,47,FALSE,FALSE,Walkup Skydome,
2007-08-31,2007,1,regular,Utah,Mountain West,Oregon State,Pac-10,7,24,FALSE,TRUE,Reser Stadium,
2007-08-31,2007,1,regular,Wagner,NEC,Western Connecticut St,,20,7,TRUE,FALSE,,
2007-08-31,2007,1,regular,Navy,FBS Independents,Temple,Mid-American,30,19,FALSE,FALSE,Lincoln Financial Field,
2007-09-01,2007,1,regular,Washington,Pac-10,Syracuse,Big East,42,12,FALSE,FALSE,JMA Wireless Dome,
2007-09-01,2007,1,regular,Montana-Western,,Eastern Washington,Big Sky,13,52,FALSE,FALSE,Roos Field,
2007-09-01,2007,1,regular,Colorado State,Mountain West,Colorado,Big 12,28,31,FALSE,FALSE,,
2007-09-01,2007,1,regular,UAB,Conference USA,Michigan State,Big Ten,18,55,FALSE,FALSE,Spartan Stadium,
2007-09-01,2007,1,regular,Youngstown State,MVFC,Ohio State,Big Ten,6,38,FALSE,FALSE,Ohio Stadium,
2007-09-01,2007,1,regular,East Carolina,Conference USA,Virginia Tech,ACC,7,17,FALSE,FALSE,Lane Stadium,
2007-09-01,2007,1,regular,Marshall,Conference USA,Miami,ACC,3,31,FALSE,FALSE,,
2007-09-01,2007,1,regular,Northeastern,CAA,Northwestern,Big Ten,0,27,FALSE,FALSE,Ryan Field,
2007-09-01,2007,1,regular,App State,Southern,Michigan,Big Ten,34,32,FALSE,FALSE,Michigan Stadium,
2007-09-01,2007,1,regular,Florida International,Sun Belt,Penn State,Big Ten,0,59,FALSE,FALSE,Beaver Stadium,
2007-09-01,2007,1,regular,Western Kentucky,FBS Independents,Florida,SEC,3,49,FALSE,FALSE,Ben Hill Griffin Stadium,
2007-09-01,2007,1,regular,Holy Cross,Patriot,Massachusetts,CAA,30,40,TRUE,FALSE,,
2007-09-01,2007,1,regular,Fordham,Patriot,Rhode Island,CAA,27,23,FALSE,FALSE,Meade Stadium,
2007-09-01,2007,1,regular,Delaware Valley,,Iona,Metro Atlantic Athletic,12,14,TRUE,FALSE,,
2007-09-01,2007,1,regular,Albion,,Butler,Pioneer,14,42,FALSE,FALSE,Butler Bowl,
2007-09-01,2007,1,regular,UAlbany,NEC,Colgate,Patriot,11,13,FALSE,FALSE,Andy Kerr Stadium,
2007-09-01,2007,1,regular,Dayton,Pioneer,Robert Morris,NEC,23,12,FALSE,FALSE,Joe Walton Stadium,
2007-09-01,2007,1,regular,St Francis Illinois,,Valparaiso,Pioneer,21,28,FALSE,FALSE,Brown Field,
2007-09-01,2007,1,regular,UConn,Big East,Duke,ACC,45,14,FALSE,FALSE,Wallace Wade Stadium,
2007-09-01,2007,1,regular,South Carolina State,MEAC,Air Force,Mountain West,3,34,FALSE,FALSE,Falcon Stadium,
2007-09-01,2007,1,regular,Arkansas-Pine Bluff,SWAC,Mississippi Valley State,SWAC,9,16,TRUE,TRUE,,
2007-09-01,2007,1,regular,Charleston Southern,Big South,The Citadel,Southern,14,35,FALSE,FALSE,Johnson Hagood Stadium,
2007-09-01,2007,1,regular,Virginia,ACC,Wyoming,Mountain West,3,23,FALSE,FALSE,,
2007-09-01,2007,1,regular,Southern,SWAC,Florida A&M,MEAC,33,27,TRUE,FALSE,Legion Field,
2007-09-01,2007,1,regular,Western Washington,,UC Davis,Great West,28,21,FALSE,FALSE,Aggie Stadium,
2007-09-01,2007,1,regular,Southern Utah,Great West,Montana,Big Sky,17,37,FALSE,FALSE,Washington-Grizzly Stadium,
2007-09-01,2007,1,regular,Georgia Tech,ACC,Notre Dame,FBS Independents,33,3,FALSE,FALSE,Notre Dame Stadium,
2007-09-01,2007,1,regular,Wake Forest,ACC,Boston College,ACC,28,38,FALSE,TRUE,"Alumni Stadium (Chestnut Hill, MA)",
2007-09-01,2007,1,regular,Nevada,Western Athletic,Nebraska,Big 12,10,52,FALSE,FALSE,"Memorial Stadium (Lincoln, NE)",
2007-09-01,2007,1,regular,Ole Miss,SEC,Memphis,Conference USA,23,21,FALSE,FALSE,Simmons Bank Liberty Stadium,
2007-09-01,2007,1,regular,Western Michigan,Mid-American,West Virginia,Big East,24,62,FALSE,FALSE,Milan Puskar Stadium,
2007-09-01,2007,1,regular,Missouri,Big 12,Illinois,Big Ten,40,34,FALSE,FALSE,,
2007-09-01,2007,1,regular,Iowa,Big Ten,Northern Illinois,Mid-American,16,3,FALSE,FALSE,,
2007-09-01,2007,1,regular,Houston,Conference USA,Oregon,Pac-10,27,48,FALSE,FALSE,Autzen Stadium,
2007-09-01,2007,1,regular,Washington State,Pac-10,Wisconsin,Big Ten,21,42,FALSE,TRUE,Camp Randall Stadium,
2007-09-01,2007,1,regular,UCLA,Pac-10,Stanford,Pac-10,45,17,FALSE,TRUE,Stanford Stadium,
2007-09-01,2007,1,regular,Jacksonville,Pioneer,Bethune-Cookman,MEAC,17,31,FALSE,FALSE,Municipal Stadium,
2007-09-01,2007,1,regular,Middle Tennessee,Sun Belt,Florida Atlantic,Sun Belt,14,27,FALSE,TRUE,,
2007-09-01,2007,1,regular,Arizona,Pac-10,BYU,Mountain West,7,20,FALSE,TRUE,LaVell Edwards Stadium,
2007-09-01,2007,1,regular,Eastern Kentucky,OVC,Kentucky,SEC,10,50,FALSE,FALSE,Kroger Field,
2007-09-01,2007,1,regular,Villanova,CAA,Maryland,ACC,14,31,FALSE,FALSE,SECU Stadium,
2007-09-01,2007,1,regular,UCF,Conference USA,NC State,ACC,25,23,FALSE,FALSE,Carter-Finley Stadium,
2007-09-01,2007,1,regular,Eastern Michigan,Mid-American,Pittsburgh,Big East,3,27,FALSE,FALSE,Acrisure Stadium,
2007-09-01,2007,1,regular,Monmouth,NEC,Maine,CAA,14,21,FALSE,FALSE,Alfond Stadium,
2007-09-01,2007,1,regular,Marist,Metro Atlantic Athletic,Lafayette,Patriot,10,49,FALSE,FALSE,Fisher Field,
2007-09-01,2007,1,regular,Bucknell,Patriot,Duquesne,Metro Atlantic Athletic,28,19,FALSE,FALSE,Arthur J. Rooney Athletic Field,
2007-09-01,2007,1,regular,Virginia St,,Norfolk State,MEAC,7,33,FALSE,FALSE,"William Dick"""" Price Stadium""""",
2007-09-01,2007,1,regular,Georgetown,Patriot,Stony Brook,FCS Independents,28,35,FALSE,FALSE,Kenneth P. LaValle Stadium,
2007-09-01,2007,1,regular,Baylor,Big 12,TCU,Mountain West,0,27,FALSE,FALSE,Amon G. Carter Stadium,
2007-09-01,2007,1,regular,North Carolina A&T,MEAC,Winston-Salem,MEAC,7,28,FALSE,TRUE,Bowman Gray Stadium,
2007-09-01,2007,1,regular,James Madison,CAA,North Carolina,ACC,14,37,FALSE,FALSE,Kenan Stadium,
2007-09-01,2007,1,regular,Oklahoma State,Big 12,Georgia,SEC,14,35,FALSE,FALSE,Sanford Stadium,
2007-09-01,2007,1,regular,Troy,Sun Belt,Arkansas,SEC,26,46,FALSE,FALSE,Razorback Stadium,
2007-09-01,2007,1,regular,Gardner-Webb,Big South,Ohio,Mid-American,14,36,FALSE,FALSE,Peden Stadium,
2007-09-01,2007,1,regular,North Texas,Sun Belt,Oklahoma,Big 12,10,79,FALSE,FALSE,"Memorial Stadium (Norman, OK)",
2007-09-01,2007,1,regular,Presbyterian,FCS Independents,Furman,Southern,16,40,FALSE,FALSE,Paladin Stadium,
2007-09-01,2007,1,regular,Richmond,CAA,Vanderbilt,SEC,17,41,FALSE,FALSE,FirstBank Stadium,
2007-09-01,2007,1,regular,Arkansas State,Sun Belt,Texas,Big 12,13,21,FALSE,FALSE,DKR-Texas Memorial Stadium,
2007-09-01,2007,1,regular,Cal Poly,Great West,Texas State,Southland,35,38,TRUE,FALSE,Bobcat Stadium,
2007-09-01,2007,1,regular,Army,FBS Independents,Akron,Mid-American,14,22,FALSE,FALSE,Brown Stadium,
2007-09-01,2007,1,regular,Grambling,SWAC,Alcorn State,SWAC,31,10,FALSE,TRUE,Jack Spinks Stadium,
2007-09-01,2007,1,regular,Bethel University Tennessee,,Austin Peay,OVC,19,43,FALSE,FALSE,Governors Stadium,
2007-09-01,2007,1,regular,UNC Pembroke,,Davidson,Pioneer,21,31,FALSE,FALSE,Richardson Stadium,
2007-09-01,2007,1,regular,Coastal Carolina,Big South,Delaware State,MEAC,18,23,FALSE,FALSE,Alumni Stadium,
2007-09-01,2007,1,regular,Delta State,,Jackson State,SWAC,27,15,FALSE,FALSE,Mississippi Veterans Memorial Stadium,
2007-09-01,2007,1,regular,Central Michigan,Mid-American,Kansas,Big 12,7,52,FALSE,FALSE,Memorial Stadium,
2007-09-01,2007,1,regular,Central Arkansas,Southland,Louisiana Tech,Western Athletic,7,28,FALSE,FALSE,Joe Aillet Stadium,
2007-09-01,2007,1,regular,Henderson State,,Northwestern State,Southland,6,41,FALSE,FALSE,Harry Turpin Stadium,
2007-09-01,2007,1,regular,UT Martin,OVC,Southern Miss,Conference USA,13,35,FALSE,FALSE,M. M. Roberts Stadium,
2007-09-01,2007,1,regular,Tarleton State,,Stephen F. Austin,Southland,27,24,FALSE,FALSE,Homer Bryce Stadium,
2007-09-01,2007,1,regular,Alabama A&M,SWAC,Tennessee State,OVC,49,23,FALSE,FALSE,Nissan Stadium,
2007-09-01,2007,1,regular,Purdue,Big Ten,Toledo,Mid-American,52,24,FALSE,FALSE,Glass Bowl,
2007-09-01,2007,1,regular,Georgetown College Kentucky,,Wofford,Southern,21,38,FALSE,FALSE,Gibbs Stadium,
2007-09-01,2007,1,regular,Elon,Southern,South Florida,Big East,13,28,FALSE,FALSE,Raymond James Stadium,
2007-09-01,2007,1,regular,Montana State,Big Sky,Texas A&M,Big 12,7,38,FALSE,FALSE,Kyle Field,
2007-09-01,2007,1,regular,Louisiana,Sun Belt,South Carolina,SEC,14,28,FALSE,FALSE,Williams-Brice Stadium,
2007-09-01,2007,1,regular,Western Carolina,Southern,Alabama,SEC,6,52,FALSE,FALSE,Bryant-Denny Stadium,
2007-09-01,2007,1,regular,Kansas State,Big 12,Auburn,SEC,13,23,FALSE,FALSE,Jordan-Hare Stadium,
2007-09-02,2007,1,regular,Tennessee,SEC,California,Pac-10,31,45,FALSE,FALSE,California Memorial Stadium,
2007-09-02,2007,1,regular,Indiana State,MVFC,Indiana,Big Ten,7,55,FALSE,FALSE,"Memorial Stadium (Bloomington, IN)",
2007-09-02,2007,1,regular,Bowling Green,Mid-American,Minnesota,Big Ten,32,31,FALSE,FALSE,,
2007-09-02,2007,1,regular,Nicholls,Southland,Rice,Conference USA,16,14,FALSE,FALSE,Rice Stadium,
2007-09-02,2007,1,regular,Jacksonville State,OVC,Alabama State,SWAC,19,24,TRUE,FALSE,Cramton Bowl,
2007-09-02,2007,1,regular,Prairie View A&M,SWAC,Texas Southern,SWAC,34,14,TRUE,TRUE,,
2007-09-02,2007,1,regular,Portland State,Big Sky,McNeese,Southland,12,35,FALSE,FALSE,Cowboy Stadium,
2007-09-02,2007,1,regular,San José State,Western Athletic,Arizona State,Pac-10,3,45,FALSE,FALSE,Mountain America Stadium,
2007-09-02,2007,1,regular,San Diego,Pioneer,Azusa Pacific,,42,32,TRUE,FALSE,,
2007-09-02,2007,1,regular,New Mexico,Mountain West,UTEP,Conference USA,6,10,FALSE,FALSE,Sun Bowl,
2007-09-02,2007,1,regular,Sacramento State,Big Sky,Fresno State,Western Athletic,3,24,FALSE,FALSE,Valley Children's Stadium,
2007-09-02,2007,1,regular,Idaho,Western Athletic,USC,Pac-10,10,38,FALSE,FALSE,Los Angeles Memorial Coliseum,
2007-09-02,2007,1,regular,Northern Colorado,Big Sky,Hawai'i,Western Athletic,6,63,TRUE,FALSE,Aloha Stadium,
2007-09-02,2007,1,regular,Fayetteville State,,North Carolina Central,FCS Independents,0,17,TRUE,FALSE,,
2007-09-03,2007,1,regular,Texas Tech,Big 12,SMU,Conference USA,49,9,FALSE,FALSE,Gerald J. Ford Stadium,
2007-09-04,2007,1,regular,Florida State,ACC,Clemson,ACC,18,24,FALSE,TRUE,"Memorial Stadium (Clemson, SC)",
2007-09-06,2007,2,regular,Middle Tennessee,Sun Belt,Louisville,Big East,42,58,FALSE,FALSE,L&N Federal Credit Union Stadium,
2007-09-06,2007,2,regular,Missouri State,MVFC,UT Martin,OVC,51,44,FALSE,FALSE,Graham Stadium,
2007-09-06,2007,2,regular,Arkansas-Pine Bluff,SWAC,Alcorn State,SWAC,21,3,FALSE,TRUE,Jack Spinks Stadium,
2007-09-06,2007,2,regular,Oregon State,Pac-10,Cincinnati,Big East,3,34,FALSE,FALSE,Nippert Stadium,
2007-09-07,2007,2,regular,Cumberland (TN),,Tennessee Tech,OVC,21,45,FALSE,FALSE,Tucker Stadium,
2007-09-07,2007,2,regular,Navy,FBS Independents,Rutgers,Big East,24,41,FALSE,FALSE,High Point Solutions Stadium,
2007-09-08,2007,2,regular,West Virginia,Big East,Marshall,Conference USA,48,23,FALSE,FALSE,Joan C. Edwards Stadium,
2007-09-08,2007,2,regular,Miami (OH),Mid-American,Minnesota,Big Ten,35,41,FALSE,FALSE,,
2007-09-08,2007,2,regular,Akron,Mid-American,Ohio State,Big Ten,2,20,FALSE,FALSE,Ohio Stadium,
2007-09-08,2007,2,regular,Miami,ACC,Oklahoma,Big 12,13,51,FALSE,FALSE,"Memorial Stadium (Norman, OK)",
2007-09-08,2007,2,regular,Grambling,SWAC,Pittsburgh,Big East,10,34,FALSE,FALSE,Acrisure Stadium,
2007-09-08,2007,2,regular,Duke,ACC,Virginia,ACC,13,24,FALSE,TRUE,Scott Stadium,
2007-09-08,2007,2,regular,Merrimack,,Central Connecticut,NEC,7,45,FALSE,FALSE,Arute Field,
2007-09-08,2007,2,regular,Ball State,Mid-American,Eastern Michigan,Mid-American,38,16,FALSE,TRUE,Rynearson Stadium,
2007-09-08,2007,2,regular,Eastern Illinois,OVC,Purdue,Big Ten,6,52,FALSE,FALSE,Ross-Ade Stadium,
2007-09-08,2007,2,regular,Nebraska,Big 12,Wake Forest,ACC,20,17,FALSE,FALSE,Allegacy Federal Credit Union Stadium,
2007-09-08,2007,2,regular,Nevada,Western Athletic,Northwestern,Big Ten,31,36,FALSE,FALSE,Ryan Field,
2007-09-08,2007,2,regular,Bowling Green,Mid-American,Michigan State,Big Ten,17,28,FALSE,FALSE,Spartan Stadium,
2007-09-08,2007,2,regular,Richmond,CAA,Northeastern,CAA,49,14,TRUE,TRUE,,
2007-09-08,2007,2,regular,Alabama,SEC,Vanderbilt,SEC,24,10,FALSE,TRUE,FirstBank Stadium,
2007-09-08,2007,2,regular,Hampton,MEAC,Howard,MEAC,31,24,FALSE,TRUE,William H. Greene Stadium,
2007-09-08,2007,2,regular,Buffalo,Mid-American,Temple,Mid-American,42,7,FALSE,TRUE,Lincoln Financial Field,
2007-09-08,2007,2,regular,UL Monroe,Sun Belt,Clemson,ACC,26,49,FALSE,FALSE,"Memorial Stadium (Clemson, SC)",
2007-09-08,2007,2,regular,Wagner,NEC,Iona,Metro Atlantic Athletic,14,17,TRUE,FALSE,,
2007-09-08,2007,2,regular,Rhode Island,CAA,Army,FBS Independents,7,14,FALSE,FALSE,Michie Stadium,
2007-09-08,2007,2,regular,Massachusetts,CAA,Colgate,Patriot,35,17,FALSE,FALSE,Andy Kerr Stadium,
2007-09-08,2007,2,regular,Urbana,,Dayton,Pioneer,7,45,FALSE,FALSE,Welcome Stadium,
2007-09-08,2007,2,regular,Villanova,CAA,Lehigh,Patriot,30,20,FALSE,FALSE,Goodman Stadium,
2007-09-08,2007,2,regular,Robert Morris,NEC,Monmouth,NEC,20,17,TRUE,TRUE,Kessler Field,
2007-09-08,2007,2,regular,La Salle,Metro Atlantic Athletic,Sacred Heart,NEC,14,54,FALSE,FALSE,Campus Field,
2007-09-08,2007,2,regular,Johnson C Smith,,Savannah St,FCS Independents,10,24,FALSE,FALSE,Ted Wright Stadium,
2007-09-08,2007,2,regular,Morehead State,Pioneer,St. Francis (PA),NEC,21,14,TRUE,FALSE,,
2007-09-08,2007,2,regular,William & Mary,CAA,VMI,Big South,63,16,FALSE,FALSE,Alumni Memorial Field,
2007-09-08,2007,2,regular,Davidson,Pioneer,Wingate,,30,33,TRUE,FALSE,,
2007-09-08,2007,2,regular,Butler,Pioneer,Hanover College,,44,14,TRUE,FALSE,,
2007-09-08,2007,2,regular,Pikeville,,Presbyterian,FCS Independents,7,58,FALSE,FALSE,Bailey Memorial Stadium,
2007-09-08,2007,2,regular,Samford,OVC,Georgia Tech,ACC,14,69,FALSE,FALSE,Bobby Dodd Stadium,
2007-09-08,2007,2,regular,California,Pac-10,Colorado State,Mountain West,34,28,FALSE,TRUE,Sonny Lubick Field at Hughes Stadium,
2007-09-08,2007,2,regular,Webber International,,The Citadel,Southern,0,76,FALSE,FALSE,Johnson Hagood Stadium,
2007-09-08,2007,2,regular,Utah State,Western Athletic,Wyoming,Mountain West,18,32,FALSE,FALSE,,
2007-09-08,2007,2,regular,Valparaiso,Pioneer,Trinity International (IL),,13,17,TRUE,FALSE,,
2007-09-08,2007,2,regular,NC State,ACC,Boston College,ACC,17,37,FALSE,TRUE,"Alumni Stadium (Chestnut Hill, MA)",
2007-09-08,2007,2,regular,Fort Lewis,,Montana,Big Sky,0,49,FALSE,FALSE,Washington-Grizzly Stadium,
2007-09-08,2007,2,regular,Chadron St,,Northern Colorado,Big Sky,31,0,FALSE,FALSE,Nottingham Field,
2007-09-08,2007,2,regular,Chattanooga,Southern,Jacksonville State,OVC,19,33,FALSE,FALSE,AmFirst Stadium,
2007-09-08,2007,2,regular,Oregon,Pac-10,Michigan,Big Ten,39,7,FALSE,TRUE,Michigan Stadium,
2007-09-08,2007,2,regular,Fresno State,Western Athletic,Texas A&M,Big 12,45,47,FALSE,FALSE,Kyle Field,
2007-09-08,2007,2,regular,New Hampshire,CAA,James Madison,CAA,24,41,FALSE,TRUE,Bridgeforth Stadium,
2007-09-08,2007,2,regular,Boise State,Western Athletic,Washington,Pac-10,10,24,FALSE,FALSE,Husky Stadium,
2007-09-08,2007,2,regular,Lenoir-Rhyne,,App State,Southern,7,48,FALSE,FALSE,Kidd Brewer Stadium,
2007-09-08,2007,2,regular,South Carolina State,MEAC,Bethune-Cookman,MEAC,24,13,FALSE,TRUE,Municipal Stadium,
2007-09-08,2007,2,regular,Towson,CAA,Morgan State,MEAC,28,21,FALSE,FALSE,Hughes Stadium,
2007-09-08,2007,2,regular,UAB,Conference USA,Florida State,ACC,24,34,FALSE,FALSE,Doak Campbell Stadium,
2007-09-08,2007,2,regular,Cal Poly,Great West,Idaho,Western Athletic,13,20,FALSE,FALSE,Kibbie Dome,
2007-09-08,2007,2,regular,West Virginia Institute Of Tech,,Western Kentucky,FBS Independents,0,87,FALSE,FALSE,Houchens Industries-L.T. Smith Stadium,
2007-09-08,2007,2,regular,Southern,SWAC,Mississippi Valley State,SWAC,23,6,TRUE,TRUE,,
2007-09-08,2007,2,regular,Southern Oregon,,Idaho State,Big Sky,11,37,FALSE,FALSE,Holt Arena,
2007-09-08,2007,2,regular,North Carolina A&T,MEAC,Prairie View A&M,SWAC,7,22,TRUE,FALSE,Blackshear Stadium,
2007-09-08,2007,2,regular,South Carolina,SEC,Georgia,SEC,16,12,FALSE,TRUE,Sanford Stadium,
2007-09-08,2007,2,regular,Delaware State,MEAC,Florida A&M,MEAC,20,7,FALSE,TRUE,Bragg Memorial Stadium,
2007-09-08,2007,2,regular,Troy,Sun Belt,Florida,SEC,31,59,FALSE,FALSE,Ben Hill Griffin Stadium,
2007-09-08,2007,2,regular,Kent State,Mid-American,Kentucky,SEC,20,56,FALSE,FALSE,Kroger Field,
2007-09-08,2007,2,regular,Missouri,Big 12,Ole Miss,SEC,38,25,FALSE,FALSE,Vaught-Hemingway Stadium,
2007-09-08,2007,2,regular,North Carolina,ACC,East Carolina,Conference USA,31,34,FALSE,FALSE,Dowdy-Ficklen Stadium,
2007-09-08,2007,2,regular,Air Force,Mountain West,Utah,Mountain West,20,12,FALSE,TRUE,Rice-Eccles Stadium,
2007-09-08,2007,2,regular,Austin Peay,OVC,Indiana State,MVFC,32,17,FALSE,FALSE,Memorial Stadium,
2007-09-08,2007,2,regular,West Georgia,,Georgia Southern,Southern,21,45,FALSE,FALSE,Allen E. Paulson Stadium,
2007-09-08,2007,2,regular,Stony Brook,FCS Independents,Bucknell,Patriot,48,20,FALSE,FALSE,Christy Mathewson-Memorial Stadium,
2007-09-08,2007,2,regular,Western Carolina,Southern,Eastern Kentucky,OVC,21,45,FALSE,FALSE,Roy Kidd Stadium,
2007-09-08,2007,2,regular,West Virginia Wesleyan,,Elon,Southern,16,59,FALSE,FALSE,Rhodes Stadium,
2007-09-08,2007,2,regular,UAlbany,NEC,Fordham,Patriot,23,20,TRUE,FALSE,Coffey Field,
2007-09-08,2007,2,regular,Jacksonville,Pioneer,Gardner-Webb,Big South,6,27,FALSE,FALSE,Ernest W. Spangler Stadium,
2007-09-08,2007,2,regular,St. Augustine's,,North Carolina Central,FCS Independents,0,6,TRUE,FALSE,,
2007-09-08,2007,2,regular,South Dakota State,Great West,Youngstown State,MVFC,17,23,FALSE,FALSE,Stambaugh Stadium,
2007-09-08,2007,2,regular,Notre Dame,FBS Independents,Penn State,Big Ten,10,31,FALSE,FALSE,Beaver Stadium,
2007-09-08,2007,2,regular,BYU,Mountain West,UCLA,Pac-10,17,27,FALSE,TRUE,Rose Bowl,
2007-09-08,2007,2,regular,Maine,CAA,UConn,Big East,0,38,FALSE,FALSE,Pratt & Whitney Stadium,
2007-09-08,2007,2,regular,West Chester,,Delaware,CAA,14,41,TRUE,FALSE,,
2007-09-08,2007,2,regular,Northern Iowa,MVFC,Iowa State,Big 12,24,13,FALSE,FALSE,Jack Trice Stadium,
2007-09-08,2007,2,regular,Rice,Conference USA,Baylor,Big 12,17,42,FALSE,FALSE,Floyd Casey Stadium,
2007-09-08,2007,2,regular,TCU,Mountain West,Texas,Big 12,13,34,FALSE,FALSE,DKR-Texas Memorial Stadium,
2007-09-08,2007,2,regular,San Diego State,Mountain West,Washington State,Pac-10,17,45,FALSE,TRUE,,
2007-09-08,2007,2,regular,Ohio,Mid-American,Louisiana,Sun Belt,31,23,FALSE,FALSE,Cajun Field,
2007-09-08,2007,2,regular,Winston-Salem,MEAC,Coastal Carolina,Big South,21,28,FALSE,FALSE,Brooks Stadium (SC),
2007-09-08,2007,2,regular,Abilene Christian,FCS Independents,Texas State,Southland,45,27,TRUE,FALSE,Bobcat Stadium,
2007-09-08,2007,2,regular,Western Illinois,MVFC,Illinois,Big Ten,0,21,FALSE,FALSE,"Memorial Stadium (Champaign, IL)",
2007-09-08,2007,2,regular,Toledo,Mid-American,Central Michigan,Mid-American,31,52,FALSE,TRUE,Kelly/Shorts Stadium,
2007-09-08,2007,2,regular,Waldorf College,,Drake,Pioneer,14,45,FALSE,FALSE,Drake Stadium,
2007-09-08,2007,2,regular,Furman,Southern,Hofstra,CAA,17,32,TRUE,FALSE,,
2007-09-08,2007,2,regular,Southern Arkansas,,Nicholls,Southland,13,31,FALSE,FALSE,Manning Field at John L. Guidry Stadium,
2007-09-08,2007,2,regular,Central Arkansas,Southland,Northwestern State,Southland,28,31,FALSE,TRUE,Harry Turpin Stadium,
2007-09-08,2007,2,regular,Arkansas-Monticello,,Sam Houston,Southland,10,48,FALSE,FALSE,Elliott T. Bowers Stadium,
2007-09-08,2007,2,regular,Southwest Baptist,,Southeast Missouri State,OVC,17,38,TRUE,FALSE,Houck Stadium,
2007-09-08,2007,2,regular,Southern Miss,Conference USA,Tennessee,SEC,19,39,FALSE,FALSE,Neyland Stadium,
2007-09-08,2007,2,regular,Jackson State,SWAC,Tennessee State,OVC,13,16,TRUE,FALSE,Simmons Bank Liberty Stadium,
2007-09-08,2007,2,regular,UTEP,Conference USA,Texas Tech,Big 12,31,45,FALSE,FALSE,Jones AT&T Stadium,
2007-09-08,2007,2,regular,Charleston Southern,Big South,Wofford,Southern,24,52,FALSE,FALSE,Gibbs Stadium,
2007-09-08,2007,2,regular,Florida Atlantic,Sun Belt,Oklahoma State,Big 12,6,42,FALSE,FALSE,Boone Pickens Stadium,
2007-09-08,2007,2,regular,Maryland,ACC,Florida International,Sun Belt,26,10,FALSE,FALSE,,
2007-09-08,2007,2,regular,SE Louisiana,Southland,Kansas,Big 12,0,62,FALSE,FALSE,Memorial Stadium,
2007-09-08,2007,2,regular,San José State,Western Athletic,Kansas State,Big 12,14,34,FALSE,FALSE,Bill Snyder Family Stadium,
