date,season,type,round,team,opponent,home_away,conf_game,div_game,points_for,points_against,ot,pre_rate,post_rate,rating_change,expected_win,result
1996-09-01,1996,R,,nfl_0028,nfl_0011,H,1,1,3,34,0,1500.0,1431.3308744755727,-68.66912552442729,0.6021580931747169,0.0
1996-09-01,1996,R,,nfl_0011,nfl_0028,A,1,1,34,3,0,1500.0,1568.6691255244273,68.66912552442729,0.3978419068252831,1.0
1996-09-01,1996,R,,nfl_0015,nfl_0017,H,1,1,24,10,0,1500.0,1526.0577864326576,26.057786432657565,0.6021580931747169,1.0
1996-09-01,1996,R,,nfl_0017,nfl_0015,A,1,1,10,24,0,1500.0,1473.9422135673424,-26.057786432657565,0.3978419068252831,0.0
1996-09-01,1996,R,,nfl_0026,nfl_0018,H,1,1,27,11,0,1500.0,1528.4827071083944,28.48270710839449,0.6021580931747169,1.0
1996-09-01,1996,R,,nfl_0018,nfl_0026,A,1,1,11,27,0,1500.0,1471.5172928916056,-28.48270710839449,0.3978419068252831,0.0
1996-09-01,1996,R,,nfl_0024,nfl_0025,H,1,1,29,7,0,1500.0,1535.4756523382168,35.47565233821687,0.6021580931747169,1.0
1996-09-01,1996,R,,nfl_0025,nfl_0024,A,1,1,7,29,0,1500.0,1464.5243476617832,-35.47565233821687,0.3978419068252831,0.0
1996-09-01,1996,R,,nfl_0019,nfl_0004,H,0,0,20,23,1,1500.0,1489.3044144305338,-10.695585569466271,0.6021580931747169,0.0
1996-09-01,1996,R,,nfl_0004,nfl_0019,A,0,0,23,20,1,1500.0,1510.6955855694662,10.695585569466271,0.3978419068252831,1.0
1996-09-02,1996,R,,nfl_0006,nfl_0008,H,1,0,22,6,0,1500.0,1525.8933700985403,25.89337009854044,0.6021580931747169,1.0
1996-09-02,1996,R,,nfl_0008,nfl_0006,A,1,0,6,22,0,1500.0,1474.1066299014597,-25.89337009854044,0.3978419068252831,0.0
1996-09-08,1996,R,,nfl_0002,nfl_0016,H,1,0,17,23,0,1463.3935965749083,1445.3048664648495,-18.08873011005886,0.5324501603043202,0.0
1996-09-08,1996,R,,nfl_0016,nfl_0002,A,1,0,23,17,0,1512.8131766972738,1530.9019068073326,18.08873011005886,0.46754983969567976,1.0
1996-09-08,1996,R,,nfl_0004,nfl_0017,H,1,1,17,10,0,1510.6955855694662,1525.0000874125938,14.304501843127657,0.6515898071228869,1.0
1996-09-08,1996,R,,nfl_0017,nfl_0004,A,1,1,10,17,0,1473.9422135673424,1459.6377117242148,-14.304501843127657,0.34841019287711306,0.0
1996-09-08,1996,R,,nfl_0018,nfl_0005,H,1,1,20,22,0,1471.5172928916056,1459.7515127497402,-11.765780141865353,0.5099442579437428,0.0
1996-09-08,1996,R,,nfl_0005,nfl_0018,A,1,1,22,20,0,1536.6064034250917,1548.3721835669571,11.765780141865353,0.49005574205625724,1.0
1996-09-08,1996,R,,nfl_0030,nfl_0006,H,1,0,10,3,0,1482.8565042729413,1499.5652708014536,16.70876652851228,0.5501468332873622,1.0
1996-09-08,1996,R,,nfl_0006,nfl_0030,A,1,0,3,10,0,1525.8933700985403,1509.184603570028,-16.70876652851228,0.44985316671263775,0.0
1996-09-08,1996,R,,nfl_0020,nfl_0012,H,1,1,7,21,0,1464.6888287460313,1431.7174772058443,-32.97135154018707,0.5308984819126765,0.0
1996-09-08,1996,R,,nfl_0012,nfl_0020,A,1,1,21,7,0,1515.1909707076159,1548.1623222478029,32.97135154018707,0.4691015180873235,1.0
1996-09-08,1996,R,,nfl_0010,nfl_0028,H,1,1,21,6,0,1487.1868233027262,1508.1561224445506,20.969299141824337,0.6761201108673754,1.0
1996-09-08,1996,R,,nfl_0028,nfl_0010,A,1,1,6,21,0,1431.3308744755727,1410.3615753337483,-20.969299141824337,0.32387988913262455,0.0
1996-09-08,1996,R,,nfl_0013,nfl_0029,H,1,1,27,34,0,1527.276986408421,1500.4663562857295,-26.810630122691403,0.6539270321337122,0.0
1996-09-08,1996,R,,nfl_0029,nfl_0013,A,1,1,34,27,0,1488.7323411056705,1515.542971228362,26.810630122691403,0.34607296786628783,1.0
1996-09-08,1996,R,,nfl_0014,nfl_0021,H,1,1,19,3,0,1511.2676588943295,1536.552883883437,25.285224989107444,0.6350492132287525,1.0
1996-09-08,1996,R,,nfl_0021,nfl_0014,A,1,1,3,19,0,1487.038427671663,1461.7532026825554,-25.285224989107444,0.3649507867712475,0.0
1996-09-08,1996,R,,nfl_0023,nfl_0003,H,1,1,31,17,0,1472.723013591579,1501.169087946365,28.446074354785782,0.5455814836962516,1.0
1996-09-08,1996,R,,nfl_0003,nfl_0023,A,1,1,17,31,0,1512.961572328337,1484.5154979735512,-28.446074354785782,0.4544185163037484,0.0
1996-09-08,1996,R,,nfl_0024,nfl_0007,H,1,0,27,14,0,1535.4756523382168,1552.9574457444257,17.481793406208812,0.6740473865853497,1.0
1996-09-08,1996,R,,nfl_0007,nfl_0024,A,1,0,14,27,0,1481.2612676485023,1463.7794742422934,-17.481793406208812,0.3259526134146503,0.0
1996-09-08,1996,R,,nfl_0008,nfl_0019,H,1,1,27,0,0,1474.1066299014597,1517.0856750722,42.9790451707403,0.5725936395502068,1.0
1996-09-08,1996,R,,nfl_0019,nfl_0008,A,1,1,0,27,0,1489.3044144305338,1446.3253692597934,-42.9790451707403,0.4274063604497932,0.0
1996-09-08,1996,R,,nfl_0025,nfl_0009,H,1,1,20,30,0,1464.5243476617832,1439.76820467273,-24.756142989053263,0.5017458940991727,0.0
1996-09-08,1996,R,,nfl_0009,nfl_0025,A,1,1,30,20,0,1535.3111712539687,1560.0673142430219,24.756142989053263,0.4982541059008273,1.0
1996-09-08,1996,R,,nfl_0026,nfl_0027,H,1,1,34,0,0,1528.4827071083944,1574.4062370148706,45.92352990647615,0.615515379837146,1.0
1996-09-08,1996,R,,nfl_0027,nfl_0026,A,1,1,0,34,0,1518.7387323514977,1472.8152024450214,-45.92352990647615,0.384484620162854,0.0
1996-09-08,1996,R,,nfl_0001,nfl_0015,H,0,0,10,38,0,1484.8090292923841,1435.755082888285,-49.053946404099165,0.5441393951614509,0.0
1996-09-08,1996,R,,nfl_0015,nfl_0001,A,0,0,38,10,0,1526.0577864326576,1575.1117328367568,49.053946404099165,0.45586060483854907,1.0
1996-09-09,1996,R,,nfl_0011,nfl_0022,H,1,0,39,13,0,1568.6691255244273,1597.154640674377,28.48551514994991,0.6706376987517688,1.0
1996-09-09,1996,R,,nfl_0022,nfl_0011,A,1,0,13,39,0,1517.1434957270587,1488.657980577109,-28.48551514994991,0.3293623012482312,0.0
1996-09-15,1996,R,,nfl_0006,nfl_0016,H,1,1,14,20,0,1509.184603570028,1487.6473850617347,-21.537218508293414,0.5718615935703119,0.0
1996-09-15,1996,R,,nfl_0016,nfl_0006,A,1,1,20,14,0,1530.9019068073326,1552.439125315626,21.537218508293414,0.42813840642968815,1.0
1996-09-15,1996,R,,nfl_0007,nfl_0018,H,0,0,30,15,0,1463.7794742422934,1487.029964490329,23.250490248035497,0.607699437620424,1.0
1996-09-15,1996,R,,nfl_0018,nfl_0007,A,0,0,15,30,0,1459.7515127497402,1436.5010225017047,-23.250490248035497,0.392300562379576,0.0
1996-09-15,1996,R,,nfl_0017,nfl_0001,H,0,0,31,0,0,1459.6377117242148,1495.097855819229,35.4601440950142,0.6345866769249877,1.0
1996-09-15,1996,R,,nfl_0001,nfl_0017,A,0,0,0,31,0,1435.755082888285,1400.2949387932708,-35.4601440950142,0.3654133230750123,0.0
1996-09-15,1996,R,,nfl_0022,nfl_0010,H,1,0,24,17,0,1488.657980577109,1504.8326261209834,16.17464554387438,0.5665247857709601,1.0
1996-09-15,1996,R,,nfl_0010,nfl_0022,A,1,0,17,24,0,1508.1561224445506,1491.9814769006762,-16.17464554387438,0.4334752142290399,0.0
1996-09-15,1996,R,,nfl_0011,nfl_0024,H,0,0,42,10,0,1597.154640674377,1631.0306216353633,33.87598096098616,0.6534742606898789,1.0
1996-09-15,1996,R,,nfl_0024,nfl_0011,A,0,0,10,42,0,1552.9574457444257,1519.0814647834395,-33.87598096098616,0.3465257393101211,0.0
1996-09-15,1996,R,,nfl_0015,nfl_0020,H,1,1,36,27,0,1575.1117328367568,1584.823301366664,9.71156852990727,0.7755481749326666,1.0
1996-09-15,1996,R,,nfl_0020,nfl_0015,A,1,1,27,36,0,1431.7174772058443,1422.005908675937,-9.71156852990727,0.2244518250673334,0.0
1996-09-15,1996,R,,nfl_0029,nfl_0003,H,1,1,29,13,0,1515.542971228362,1539.736775070449,24.19380384208712,0.6440701092732687,1.0
1996-09-15,1996,R,,nfl_0003,nfl_0029,A,1,1,13,29,0,1484.5154979735512,1460.321694131464,-24.19380384208712,0.3559298907267313,0.0
1996-09-15,1996,R,,nfl_0008,nfl_0012,H,0,0,24,25,0,1517.0856750722,1507.356102355561,-9.729572716638993,0.558622584276063,0.0
1996-09-15,1996,R,,nfl_0012,nfl_0008,A,0,0,25,24,0,1548.1623222478029,1557.891894964442,9.729572716638993,0.44137741572393696,1.0
1996-09-15,1996,R,,nfl_0021,nfl_0013,H,1,0,17,3,0,1461.7532026825554,1487.1674197591144,25.414217076558955,0.5477575892768922,1.0
1996-09-15,1996,R,,nfl_0013,nfl_0021,A,1,0,3,17,0,1500.4663562857295,1475.0521392091705,-25.414217076558955,0.4522424107231078,0.0
1996-09-15,1996,R,,nfl_0025,nfl_0014,H,1,1,17,35,0,1439.76820467273,1407.240187453913,-32.52801721881699,0.46439235938446094,0.0
1996-09-15,1996,R,,nfl_0014,nfl_0025,A,1,1,35,17,0,1536.552883883437,1569.080901102254,32.528017218817,0.535607640615539,1.0
1996-09-15,1996,R,,nfl_0019,nfl_0030,H,1,1,10,31,0,1446.3253692597934,1403.880303429746,-42.44506583004743,0.5269717444434039,0.0
1996-09-15,1996,R,,nfl_0030,nfl_0019,A,1,1,31,10,0,1499.5652708014536,1542.010336631501,42.44506583004743,0.4730282555565961,1.0
1996-09-15,1996,R,,nfl_0009,nfl_0028,H,0,0,27,23,0,1560.0673142430219,1565.50958969861,5.442275455588017,0.7818092020403798,1.0
1996-09-15,1996,R,,nfl_0028,nfl_0009,A,0,0,23,27,0,1410.3615753337483,1404.9192998781602,-5.442275455588017,0.21819079795962015,0.0
1996-09-16,1996,R,,nfl_0023,nfl_0004,H,1,0,24,6,0,1501.169087946365,1530.193562159806,29.02447421344128,0.5688800035522048,1.0
1996-09-16,1996,R,,nfl_0004,nfl_0023,A,1,0,6,24,0,1525.0000874125938,1495.9756131991526,-29.02447421344128,0.4311199964477952,0.0
1996-09-22,1996,R,,nfl_0005,nfl_0026,H,1,1,23,7,0,1548.3721835669571,1578.0040258552567,29.63184228829952,0.5657670447174424,1.0
1996-09-22,1996,R,,nfl_0026,nfl_0005,A,1,1,7,23,0,1574.4062370148706,1544.774394726571,-29.63184228829952,0.43423295528255756,0.0
1996-09-22,1996,R,,nfl_0027,nfl_0030,H,1,0,10,17,0,1472.8152024450214,1453.4786791535516,-19.336523291469724,0.5384989483848562,0.0
1996-09-22,1996,R,,nfl_0030,nfl_0027,A,1,0,17,10,0,1542.010336631501,1561.0786771770659,19.06834054556482,0.46150105161514376,1.0
1996-09-22,1996,R,,nfl_0018,nfl_0001,H,1,0,14,28,0,1436.5010225017047,1400.3614718088363,-36.139550692868454,0.6508742503633742,0.0
1996-09-22,1996,R,,nfl_0001,nfl_0018,A,1,0,28,14,0,1400.2949387932708,1436.4344894861392,36.139550692868454,0.3491257496366258,1.0
1996-09-22,1996,R,,nfl_0014,nfl_0009,H,1,1,17,14,0,1569.080901102254,1579.7841114249877,10.70321032273374,0.6070725788179179,1.0
1996-09-22,1996,R,,nfl_0009,nfl_0014,A,1,1,14,17,0,1565.50958969861,1554.8063793758763,-10.70321032273374,0.3929274211820821,0.0
1996-09-22,1996,R,,nfl_0016,nfl_0011,H,1,1,30,21,0,1552.439125315626,1575.2380579680332,22.79893265240741,0.49051521220057787,1.0
1996-09-22,1996,R,,nfl_0011,nfl_0016,A,1,1,21,30,0,1631.0306216353633,1608.231688982956,-22.79893265240741,0.5094847877994222,0.0
1996-09-22,1996,R,,nfl_0017,nfl_0013,H,1,0,28,25,1,1495.097855819229,1501.4377741810483,6.339918361819459,0.6294499308518846,1.0
1996-09-22,1996,R,,nfl_0013,nfl_0017,A,1,0,25,28,1,1475.0521392091705,1468.712220847351,-6.339918361819459,0.3705500691481154,0.0
1996-09-22,1996,R,,nfl_0020,nfl_0019,H,0,0,6,13,0,1422.005908675937,1399.3672396374384,-22.638669038498648,0.6268682199003667,0.0
1996-09-22,1996,R,,nfl_0019,nfl_0020,A,0,0,13,6,0,1403.880303429746,1426.5189724682446,22.638669038498648,0.3731317800996333,1.0
1996-09-22,1996,R,,nfl_0004,nfl_0008,H,0,0,10,7,0,1495.9756131991526,1506.1583085513428,10.182695352190086,0.5779625886924195,1.0
1996-09-22,1996,R,,nfl_0008,nfl_0004,A,0,0,7,10,0,1507.356102355561,1497.1734070033708,-10.182695352190086,0.42203741130758055,0.0
1996-09-22,1996,R,,nfl_0010,nfl_0006,H,1,1,35,16,0,1491.9814769006762,1522.1468267275618,30.16534982688557,0.6081194743957694,1.0
1996-09-22,1996,R,,nfl_0006,nfl_0010,A,1,1,16,35,0,1487.6473850617347,1457.482035234849,-30.16534982688557,0.3918805256042306,0.0
1996-09-22,1996,R,,nfl_0021,nfl_0024,H,1,1,34,40,0,1487.1674197591144,1466.6294224972428,-20.537997261871723,0.557433704231193,0.0
1996-09-22,1996,R,,nfl_0024,nfl_0021,A,1,1,40,34,0,1519.0814647834395,1539.6194620453111,20.537997261871723,0.442566295768807,1.0
1996-09-22,1996,R,,nfl_0028,nfl_0025,H,0,0,13,17,0,1404.9192998781602,1388.4531302533092,-16.46616962485105,0.5989531706424286,0.0
1996-09-22,1996,R,,nfl_0025,nfl_0028,A,0,0,17,13,0,1407.240187453913,1423.706357078764,16.46616962485105,0.4010468293575714,1.0
1996-09-22,1996,R,,nfl_0002,nfl_0022,H,1,0,18,33,0,1445.3048664648495,1413.3322910597892,-31.972575405060272,0.5522958164379993,0.0
1996-09-22,1996,R,,nfl_0022,nfl_0002,A,1,0,33,18,0,1504.8326261209834,1536.3617664298513,31.529140308867806,0.4477041835620007,1.0
1996-09-23,1996,R,,nfl_0012,nfl_0015,H,1,1,10,6,0,1557.891894964442,1571.0663062566655,13.174411292223636,0.5644975642560515,1.0
1996-09-23,1996,R,,nfl_0015,nfl_0012,A,1,1,6,10,0,1584.823301366664,1571.6488900744405,-13.174411292223636,0.43550243574394853,0.0
1996-09-29,1996,R,,nfl_0013,nfl_0005,H,0,0,24,14,0,1468.712220847351,1491.3907744313135,22.678553583962472,0.4465379275723053,1.0
1996-09-29,1996,R,,nfl_0005,nfl_0013,A,0,0,14,24,0,1578.0040258552567,1555.0019645200236,-23.00206133523297,0.5534620724276946,0.0
1996-09-29,1996,R,,nfl_0007,nfl_0009,H,1,0,10,14,0,1487.029964490329,1472.6256732287793,-14.404291261549522,0.5405278957904376,0.0
1996-09-29,1996,R,,nfl_0009,nfl_0007,A,1,0,14,10,0,1554.8063793758763,1569.0080844514855,14.201705075609246,0.4594721042095624,1.0
1996-09-29,1996,R,,nfl_0023,nfl_0029,H,1,1,30,16,0,1530.193562159806,1556.355274597207,26.161712437400926,0.5805402083860689,1.0
1996-09-29,1996,R,,nfl_0029,nfl_0023,A,1,1,16,30,0,1539.736775070449,1513.5750626330482,-26.161712437400926,0.4194597916139311,0.0
1996-09-29,1996,R,,nfl_0006,nfl_0021,H,0,0,19,17,0,1457.482035234849,1465.9371821616894,8.45514692684043,0.5894782042378904,1.0
1996-09-29,1996,R,,nfl_0021,nfl_0006,A,0,0,17,19,0,1466.6294224972428,1458.1742755704024,-8.45514692684043,0.41052179576210956,0.0
1996-09-29,1996,R,,nfl_0028,nfl_0010,H,1,1,0,27,0,1388.4531302533092,1352.1137787926918,-36.33935146061725,0.41213715617945157,0.0
1996-09-29,1996,R,,nfl_0010,nfl_0028,A,1,1,27,0,0,1522.1468267275618,1558.486178188179,36.33935146061725,0.5878628438205484,1.0
1996-09-29,1996,R,,nfl_0019,nfl_0016,H,1,0,15,10,0,1426.5189724682446,1443.2835649386002,16.764592470355616,0.3913525089257494,1.0
1996-09-29,1996,R,,nfl_0016,nfl_0019,A,1,0,10,15,0,1575.2380579680332,1558.4734654976776,-16.764592470355616,0.6086474910742505,0.0
1996-09-29,1996,R,,nfl_0003,nfl_0018,H,0,0,17,10,0,1460.321694131464,1470.4430337249273,10.121339593463402,0.710492915381964,1.0
1996-09-29,1996,R,,nfl_0018,nfl_0003,A,0,0,10,17,0,1400.3614718088363,1390.3824817102293,-9.978990098607,0.289507084618036,0.0
1996-09-29,1996,R,,nfl_0026,nfl_0002,H,1,1,39,17,0,1544.774394726571,1563.09605006925,18.321655342678813,0.763345032651938,1.0
1996-09-29,1996,R,,nfl_0002,nfl_0026,A,1,1,17,39,0,1413.3322910597892,1395.0106357171103,-18.321655342678813,0.23665496734806202,0.0
1996-09-29,1996,R,,nfl_0001,nfl_0027,H,1,0,31,28,1,1436.4344894861392,1443.5626551607454,7.128165674606126,0.5784347244629946,1.0
1996-09-29,1996,R,,nfl_0027,nfl_0001,A,1,0,28,31,1,1453.4786791535516,1446.2488307662657,-7.229848387286096,0.4215652755370054,0.0
1996-09-29,1996,R,,nfl_0025,nfl_0011,H,0,0,10,31,0,1423.706357078764,1401.9257735507683,-21.780583527995766,0.3434972268268141,0.0
1996-09-29,1996,R,,nfl_0011,nfl_0025,A,0,0,31,10,0,1608.231688982956,1630.0122725109518,21.78058352799577,0.6565027731731858,1.0
1996-09-29,1996,R,,nfl_0024,nfl_0014,H,1,1,22,19,0,1539.6194620453111,1551.4746767556599,11.855214710348685,0.5456869618052085,1.0
1996-09-29,1996,R,,nfl_0014,nfl_0024,A,1,1,19,22,0,1579.7841114249877,1567.928896714639,-11.855214710348685,0.4543130381947915,0.0
1996-09-29,1996,R,,nfl_0030,nfl_0020,H,0,0,31,16,0,1561.0786771770659,1571.6554693063931,10.576792129327295,0.7933685638047696,1.0
1996-09-29,1996,R,,nfl_0020,nfl_0030,A,0,0,16,31,0,1399.3672396374384,1388.7904475081111,-10.576792129327295,0.2066314361952304,0.0
1996-09-30,1996,R,,nfl_0022,nfl_0008,H,1,1,19,23,0,1536.3617664298513,1517.018671472955,-19.3430949568962,0.6547651354613239,0.0
1996-09-30,1996,R,,nfl_0008,nfl_0022,A,1,1,23,19,0,1497.1734070033708,1516.516501960267,19.3430949568962,0.34523486453867613,1.0
1996-10-06,1996,R,,nfl_0010,nfl_0002,H,1,0,28,24,0,1558.486178188179,1563.4353187556526,4.949140567473548,0.7950283642006261,1.0
1996-10-06,1996,R,,nfl_0002,nfl_0010,A,1,0,24,28,0,1395.0106357171103,1389.989874391277,-5.020761325833325,0.20497163579937394,0.0
1996-10-06,1996,R,,nfl_0016,nfl_0005,H,1,0,14,12,0,1558.4734654976776,1566.6500368065635,8.176571308885922,0.6069355186475957,1.0
1996-10-06,1996,R,,nfl_0005,nfl_0016,A,1,0,12,14,0,1555.0019645200236,1546.707067164435,-8.294897355588642,0.39306448135240435,0.0
1996-10-06,1996,R,,nfl_0015,nfl_0025,H,1,0,15,22,0,1571.6488900744405,1544.9847120765635,-26.66417799787694,0.8219514724332154,0.0
1996-10-06,1996,R,,nfl_0025,nfl_0015,A,1,0,22,15,0,1401.9257735507683,1428.2095891841923,26.283815633423966,0.17804852756678458,1.0
1996-10-06,1996,R,,nfl_0003,nfl_0017,H,1,0,38,46,0,1470.4430337249273,1450.093284514898,-20.349749210029298,0.5244530121145851,0.0
1996-10-06,1996,R,,nfl_0017,nfl_0003,A,1,0,46,38,0,1501.4377741810483,1521.7875233910777,20.349749210029298,0.47554698788541494,1.0
1996-10-06,1996,R,,nfl_0006,nfl_0011,H,1,1,6,37,0,1465.9371821616894,1431.1074681161215,-34.829714045568025,0.3705106312724175,0.0
1996-10-06,1996,R,,nfl_0011,nfl_0006,A,1,1,37,6,0,1630.0122725109518,1664.8419865565197,34.82971404556803,0.6294893687275824,1.0
1996-10-06,1996,R,,nfl_0020,nfl_0021,H,1,0,13,34,0,1388.7904475081111,1353.8706568011592,-34.919790706952014,0.5037649029087532,0.0
1996-10-06,1996,R,,nfl_0021,nfl_0020,A,1,0,34,13,0,1458.1742755704024,1493.0940662773544,34.919790706952014,0.4962350970912468,1.0
1996-10-06,1996,R,,nfl_0004,nfl_0012,H,1,1,16,13,1,1506.1583085513428,1514.782110563363,8.62380201202026,0.5188319933680733,1.0
1996-10-06,1996,R,,nfl_0012,nfl_0004,A,1,1,13,16,1,1571.0663062566655,1562.4425042446453,-8.62380201202026,0.4811680066319267,0.0
1996-10-06,1996,R,,nfl_0027,nfl_0026,H,1,1,11,28,0,1446.2488307662657,1418.1242991383501,-28.12453162791558,0.43581574352926844,0.0
1996-10-06,1996,R,,nfl_0026,nfl_0027,A,1,1,28,11,0,1563.09605006925,1591.2205816971655,28.12453162791558,0.5641842564707316,1.0
1996-10-06,1996,R,,nfl_0009,nfl_0024,H,1,1,28,17,0,1569.0080844514855,1588.2909383799722,19.282853928486702,0.6260705040074348,1.0
1996-10-06,1996,R,,nfl_0024,nfl_0009,A,1,1,17,28,0,1551.4746767556599,1532.1918228271732,-19.282853928486702,0.3739294959925652,0.0
1996-10-06,1996,R,,nfl_0018,nfl_0013,H,0,0,17,13,0,1390.3824817102293,1403.7972916371325,13.41480992690311,0.4583504458849314,1.0
1996-10-06,1996,R,,nfl_0013,nfl_0018,A,0,0,13,17,0,1491.3907744313135,1477.9759645044103,-13.41480992690311,0.5416495541150685,0.0
1996-10-06,1996,R,,nfl_0007,nfl_0029,H,1,1,27,30,1,1472.6256732287793,1462.6844604525922,-9.941212776186994,0.5445668298664995,0.0
1996-10-06,1996,R,,nfl_0029,nfl_0007,A,1,1,30,27,1,1513.5750626330482,1523.5162754092353,9.941212776186994,0.4554331701335005,1.0
1996-10-07,1996,R,,nfl_0014,nfl_0023,H,1,0,7,17,0,1567.928896714639,1540.495482465204,-27.43341424943498,0.6180048613328565,0.0
1996-10-07,1996,R,,nfl_0023,nfl_0014,A,1,0,17,7,0,1556.355274597207,1584.1856874580485,27.83041286084145,0.3819951386671435,1.0
1996-10-13,1996,R,,nfl_0002,nfl_0029,H,0,0,13,23,0,1389.989874391277,1373.6254574736865,-16.364416917590425,0.4123704989446363,0.0
1996-10-13,1996,R,,nfl_0029,nfl_0002,A,0,0,23,13,0,1523.5162754092353,1539.8806923268257,16.364416917590425,0.5876295010553637,1.0
1996-10-13,1996,R,,nfl_0004,nfl_0015,H,1,1,7,21,0,1514.782110563363,1481.3933267976163,-33.38878376574663,0.5598627776946884,0.0
1996-10-13,1996,R,,nfl_0015,nfl_0004,A,1,1,21,7,0,1544.9847120765635,1578.3734958423101,33.38878376574663,0.4401372223053116,1.0
1996-10-13,1996,R,,nfl_0005,nfl_0027,H,1,1,45,13,0,1546.707067164435,1570.3565571176464,23.649489953211397,0.7603587282987715,1.0
1996-10-13,1996,R,,nfl_0027,nfl_0005,A,1,1,13,45,0,1418.1242991383501,1394.4748091851388,-23.649489953211397,0.2396412717012285,0.0
1996-10-13,1996,R,,nfl_0023,nfl_0007,H,1,1,20,10,0,1584.1856874580485,1595.5776366363953,11.391949178346769,0.746369788331988,1.0
1996-10-13,1996,R,,nfl_0007,nfl_0023,A,1,1,10,20,0,1462.6844604525922,1451.2925112742455,-11.391949178346769,0.25363021166801203,0.0
1996-10-13,1996,R,,nfl_0008,nfl_0001,H,1,1,17,3,0,1516.516501960267,1534.4096034945353,17.893101534268123,0.6899493762621749,1.0
1996-10-13,1996,R,,nfl_0001,nfl_0008,A,1,1,3,17,0,1443.5626551607454,1425.6695536264772,-17.893101534268123,0.3100506237378251,0.0
1996-10-13,1996,R,,nfl_0017,nfl_0030,H,0,0,22,27,0,1521.7875233910777,1507.543021513004,-14.24450187807369,0.4973118356388799,0.0
1996-10-13,1996,R,,nfl_0030,nfl_0017,A,0,0,27,22,0,1571.6554693063931,1585.8999711844667,14.244501878073692,0.5026881643611201,1.0
1996-10-13,1996,R,,nfl_0018,nfl_0006,H,1,0,27,24,0,1403.7972916371325,1413.9472588783385,10.149967241206044,0.5639614653431151,1.0
1996-10-13,1996,R,,nfl_0006,nfl_0018,A,1,0,24,27,0,1431.1074681161215,1420.9575008749155,-10.149967241206044,0.4360385346568849,0.0
1996-10-13,1996,R,,nfl_0013,nfl_0020,H,1,0,21,17,0,1477.9759645044103,1483.9576001963958,5.981635691985504,0.7556308359656229,1.0
1996-10-13,1996,R,,nfl_0020,nfl_0013,A,1,0,17,21,0,1353.8706568011592,1347.8890211091737,-5.981635691985504,0.24436916403437714,0.0
1996-10-13,1996,R,,nfl_0028,nfl_0016,H,1,1,24,13,0,1352.1137787926918,1381.7607864189438,29.647007626251863,0.33573710890387154,1.0
