Season,Rank,Team,PostGmRate,Week,Type,Round
1997,25,OAK,1440.4452180645858,17,R,RS
1997,26,IND,1429.3973392192688,17,R,RS
1997,27,NO,1414.9396564841306,17,R,RS
1997,28,ARI,1412.458609539469,17,R,RS
1997,29,CHI,1408.002300154714,17,R,RS
1997,30,SD,1397.311918968016,17,R,RS
1998,1,DEN,1691.2602702410495,21,P,SB
1998,2,MIN,1655.518021273573,20,P,CC
1998,3,ATL,1605.8665101847073,21,P,SB
1998,4,NYJ,1605.8622632453698,20,P,CC
1998,5,SF,1602.2828586421058,19,P,DV
1998,6,GB,1581.9101471381034,18,P,WC
1998,7,JAX,1561.7984530459332,19,P,DV
1998,8,DAL,1538.421326528207,18,P,WC
1998,9,MIA,1531.7936014300547,19,P,DV
1998,10,SEA,1525.3222846404237,17,R,RS
1998,11,BUF,1523.019596677104,18,P,WC
1998,12,TEN,1515.7012828058419,17,R,RS
1998,13,TB,1514.9305786554203,17,R,RS
1998,14,NE,1512.5103153425684,18,P,WC
1998,15,NYG,1500.6210732793445,17,R,RS
1998,16,KC,1497.2973082920016,17,R,RS
1998,17,PIT,1484.7758426882447,17,R,RS
1998,18,ARI,1469.5109809477535,19,P,DV
1998,19,DET,1460.1112785947478,17,R,RS
1998,20,OAK,1458.2078509263793,17,R,RS
1998,21,WAS,1455.2412666923733,17,R,RS
1998,22,BAL,1447.5599376275768,17,R,RS
1998,23,NO,1444.4911207573211,17,R,RS
1998,24,CAR,1444.2969628393794,17,R,RS
1998,25,STL,1415.5323407926114,17,R,RS
1998,26,CHI,1413.2539758504768,17,R,RS
1998,27,SD,1406.6575363823042,17,R,RS
1998,28,IND,1391.1777386352692,17,R,RS
1998,29,CIN,1373.8723638080162,17,R,RS
1998,30,PHI,1371.752833456163,17,R,RS
1999,1,STL,1649.74574895175,21,P,SB
1999,2,JAX,1605.8108453136435,20,P,CC
1999,3,TEN,1605.1572196073432,21,P,SB
1999,4,MIN,1581.0904109806595,19,P,DV
1999,5,BUF,1567.9924600231066,18,P,WC
1999,6,TB,1549.9736487209498,20,P,CC
1999,7,IND,1543.9016145591531,19,P,DV
1999,8,KC,1538.7879326311822,17,R,RS
1999,9,WAS,1538.2140040066386,19,P,DV
1999,10,NYJ,1534.848833048764,17,R,RS
1999,11,DEN,1527.2744929434095,17,R,RS
1999,12,GB,1525.901224291308,17,R,RS
1999,13,DAL,1525.074034481614,18,P,WC
1999,14,SEA,1525.0545890423962,18,P,WC
1999,15,OAK,1524.8865161649398,17,R,RS
1999,16,BAL,1510.4618029183957,17,R,RS
1999,17,NE,1507.5000276418891,17,R,RS
1999,18,CAR,1497.4637051229963,17,R,RS
1999,19,MIA,1489.3304324218461,19,P,DV
1999,20,PIT,1477.5298687395853,17,R,RS
1999,21,DET,1477.3364954289289,18,P,WC
1999,22,SD,1462.4738814886102,17,R,RS
1999,23,ATL,1460.21728559195,17,R,RS
1999,24,NYG,1455.1821681321762,17,R,RS
1999,25,CHI,1440.0463452167085,17,R,RS
1999,26,PHI,1424.4832291887778,17,R,RS
1999,27,ARI,1418.1551843341879,17,R,RS
1999,28,SF,1416.967394293858,17,R,RS
1999,29,NO,1387.8703622539235,17,R,RS
1999,30,CIN,1380.412817327881,17,R,RS
1999,31,CLE,1351.0228015575535,16,R,RS
2000,1,BAL,1667.7312467582574,21,P,SB
2000,2,OAK,1601.24705068477,20,P,CC
2000,3,TEN,1590.6058505762792,19,P,DV
2000,4,IND,1573.2396049023303,18,P,WC
2000,5,NYG,1573.0623025513685,21,P,SB
2000,6,TB,1565.9281879864373,18,P,WC
2000,7,STL,1559.4894506574628,18,P,WC
2000,8,DEN,1559.2402665700172,18,P,WC
2000,9,MIA,1552.6466643688552,19,P,DV
2000,10,PHI,1546.8729401653763,19,P,DV
2000,11,GB,1535.2443509053667,17,R,RS
2000,12,PIT,1531.1004813160462,17,R,RS
2000,13,MIN,1528.0404829133267,20,P,CC
2000,14,NYJ,1523.6536542941908,17,R,RS
2000,15,JAX,1512.5510713946724,17,R,RS
2000,16,WAS,1510.6131691200305,17,R,RS
2000,17,NO,1506.0668743214924,19,P,DV
2000,18,DET,1501.8249321744026,17,R,RS
2000,19,CAR,1498.7597022260757,17,R,RS
2000,20,KC,1498.4770774535298,17,R,RS
2000,21,BUF,1495.4989356577569,17,R,RS
2000,22,SF,1461.3251614715755,17,R,RS
2000,23,DAL,1457.8003562185584,17,R,RS
2000,24,SEA,1454.2177101250534,17,R,RS
2000,25,NE,1449.877555113789,17,R,RS
2000,26,CHI,1404.3961342992193,17,R,RS
2000,27,ATL,1399.9471434000902,17,R,RS
2000,28,CIN,1380.683767854786,17,R,RS
2000,29,SD,1371.567290244816,17,R,RS
2000,30,ARI,1344.7151564273922,17,R,RS
2000,31,CLE,1343.6256407745127,16,R,RS
2001,1,STL,1660.821462592075,22,P,SB
2001,2,PHI,1614.8506492395034,21,P,CC
2001,3,PIT,1601.8631815412766,21,P,CC
2001,4,NE,1590.035935583899,22,P,SB
2001,5,GB,1580.1268786705803,20,P,DV
2001,6,OAK,1577.1533448946686,20,P,DV
2001,7,SF,1568.29028276505,19,P,WC
2001,8,CHI,1563.1787816940412,20,P,DV
2001,9,BAL,1561.7794400663724,20,P,DV
2001,10,TB,1531.7164960791154,19,P,WC
2001,11,MIA,1527.3604632754236,19,P,WC
2001,12,NYJ,1521.501962574331,19,P,WC
2001,13,DEN,1507.799165234331,18,R,RS
2001,14,WAS,1497.8057464792737,18,R,RS
2001,15,JAX,1497.6922718555663,18,R,RS
2001,16,TEN,1493.9459822844287,18,R,RS
2001,17,NYG,1488.0102480259518,18,R,RS
2001,18,SEA,1485.879100113045,18,R,RS
2001,19,KC,1478.4463075793249,18,R,RS
2001,20,IND,1474.448681660092,18,R,RS
2001,21,CLE,1452.063379165833,18,R,RS
2001,22,SD,1451.1712952312696,17,R,RS
2001,23,NO,1447.1042010605508,18,R,RS
2001,24,MIN,1442.2083078813976,18,R,RS
2001,25,ARI,1432.1099799391511,18,R,RS
2001,26,ATL,1429.3456536894614,18,R,RS
2001,27,DAL,1427.8446370776255,18,R,RS
2001,28,CIN,1418.0535129232173,18,R,RS
2001,29,BUF,1398.3838052881326,18,R,RS
2001,30,DET,1397.2760864682866,18,R,RS
2001,31,CAR,1381.7478229450755,18,R,RS
2002,1,TB,1669.845149160125,21,P,SB
2002,2,OAK,1610.7062093637164,21,P,SB
2002,3,PHI,1610.5574626050743,20,P,CC
2002,4,PIT,1559.1639584881382,19,P,DV
2002,5,NYJ,1551.9556383960203,19,P,DV
2002,6,TEN,1547.1758721933002,20,P,CC
2002,7,GB,1546.3746419232698,18,P,WC
2002,8,ATL,1544.5161394648487,19,P,DV
2002,9,MIA,1537.0090852375272,17,R,RS
2002,10,NE,1536.879196711072,17,R,RS
2002,11,NYG,1535.5986247488268,18,P,WC
2002,12,DEN,1530.7179960081062,17,R,RS
2002,13,KC,1525.1162430238894,17,R,RS
2002,14,SF,1520.2154126548032,19,P,DV
2002,15,NO,1512.508137984873,17,R,RS
2002,16,STL,1508.4881319840615,17,R,RS
2002,17,CLE,1502.352351442646,18,P,WC
2002,18,IND,1496.61510569479,18,P,WC
2002,19,SEA,1486.110894349491,17,R,RS
2002,20,BAL,1482.3737967767472,17,R,RS
2002,21,JAX,1477.9966006740926,17,R,RS
2002,22,BUF,1471.1572980394653,17,R,RS
2002,23,WAS,1465.7644021713168,17,R,RS
2002,24,SD,1464.0425138491655,17,R,RS
2002,25,MIN,1460.0641101721988,17,R,RS
2002,26,CAR,1445.9545434995293,17,R,RS
2002,27,CHI,1438.9415223244853,17,R,RS
2002,28,DAL,1416.4190525222987,17,R,RS
2002,29,HOU,1399.9258293240157,17,R,RS
2002,30,ARI,1397.040082636431,17,R,RS
2002,31,DET,1382.970690596151,17,R,RS
2002,32,CIN,1365.4478251430285,17,R,RS
2003,1,NE,1628.4284454678586,21,P,SB
2003,2,TEN,1593.521173079733,19,P,DV
2003,3,GB,1593.1463361073497,19,P,DV
2003,4,IND,1590.5148630659796,20,P,CC
2003,5,PHI,1583.0212255488718,20,P,CC
2003,6,KC,1573.226978480049,19,P,DV
2003,7,STL,1562.2521481902745,19,P,DV
2003,8,MIA,1558.6151025825188,17,R,RS
2003,9,BAL,1557.3178353512847,18,P,WC
2003,10,TB,1549.8487787990819,17,R,RS
2003,11,CAR,1545.0947194408138,21,P,SB
2003,12,DEN,1542.8139690232545,18,P,WC
2003,13,SEA,1532.6506458741744,18,P,WC
2003,14,MIN,1527.4913575596383,17,R,RS
2003,15,NO,1511.142703478774,17,R,RS
2003,16,SF,1509.729165962261,17,R,RS
2003,17,DAL,1497.3801991094847,18,P,WC
2003,18,NYJ,1489.209790967539,17,R,RS
2003,19,PIT,1481.282785705514,17,R,RS
2003,20,BUF,1468.6140609853342,17,R,RS
2003,21,CHI,1456.898547172966,17,R,RS
2003,22,CIN,1455.5677276420618,17,R,RS
2003,23,JAX,1453.5338435619128,17,R,RS
2003,24,CLE,1447.0960221805462,17,R,RS
2003,25,ATL,1440.5316290081535,17,R,RS
2003,26,OAK,1439.3284948378412,17,R,RS
2003,27,WAS,1429.0427376018345,17,R,RS
2003,28,DET,1412.4390219304962,17,R,RS
2003,29,SD,1410.6812178474963,17,R,RS
2003,30,HOU,1402.5770892629444,17,R,RS
2003,31,NYG,1400.3839081769343,17,R,RS
2003,32,ARI,1356.6188317460737,17,R,RS
2004,1,NE,1684.924750579232,21,P,SB
2004,2,IND,1617.488575237025,19,P,DV
2004,3,PHI,1604.5841153916845,21,P,SB
2004,4,PIT,1595.4777404999543,20,P,CC
2004,5,SD,1568.088629977281,18,P,WC
2004,6,BUF,1561.0632838494112,17,R,RS
2004,7,DEN,1545.1535658635773,18,P,WC
2004,8,NYJ,1543.268555864905,19,P,DV
2004,9,BAL,1540.2051005315752,17,R,RS
2004,10,GB,1540.1709968303896,18,P,WC
2004,11,KC,1537.1828348359898,17,R,RS
2004,12,CAR,1521.3401936432106,17,R,RS
2004,13,ATL,1512.3290991645565,20,P,CC
2004,14,MIN,1508.4861421461214,19,P,DV
2004,15,CIN,1501.9752258797098,17,R,RS
2004,16,SEA,1493.0063850823992,18,P,WC
2004,17,HOU,1481.6529731976893,17,R,RS
2004,18,NO,1480.9953567374246,17,R,RS
2004,19,TB,1477.8131076200186,17,R,RS
2004,20,JAX,1477.261344714278,17,R,RS
2004,21,STL,1470.409381551475,19,P,DV
2004,22,WAS,1464.8932279786854,17,R,RS
2004,23,TEN,1451.5401706643077,17,R,RS
2004,24,MIA,1448.9720988769504,17,R,RS
2004,25,NYG,1445.899487655916,17,R,RS
2004,26,ARI,1440.0358483788684,17,R,RS
2004,27,DET,1438.855432741288,17,R,RS
2004,28,DAL,1432.1575043473954,17,R,RS
2004,29,CLE,1418.5774290107202,17,R,RS
2004,30,CHI,1415.3157410716472,17,R,RS
2004,31,OAK,1408.1460203200593,17,R,RS
2004,32,SF,1372.730086480969,17,R,RS
2005,1,PIT,1668.682996368145,21,P,SB
2005,2,IND,1631.6347033591599,19,P,DV
2005,3,SEA,1617.9887113693126,21,P,SB
2005,4,DEN,1602.041377180714,20,P,CC
2005,5,CAR,1599.5862709816279,20,P,CC
2005,6,NE,1579.7960226685311,19,P,DV
2005,7,KC,1568.2998676387224,17,R,RS
2005,8,SD,1567.5490562772884,17,R,RS
2005,9,WAS,1547.548504359387,19,P,DV
2005,10,JAX,1538.400333469269,18,P,WC
2005,11,NYG,1537.6612840184157,18,P,WC
2005,12,CIN,1531.940489059501,18,P,WC
2005,13,CHI,1516.096943638779,19,P,DV
2005,14,TB,1515.8228842726048,18,P,WC
2005,15,MIN,1503.1734516764602,17,R,RS
2005,16,MIA,1496.5932152683706,17,R,RS
2005,17,ATL,1494.946590969628,17,R,RS
2005,18,DAL,1494.741734035719,17,R,RS
2005,19,BAL,1479.6008375001725,17,R,RS
2005,20,PHI,1459.502138671223,17,R,RS
2005,21,GB,1455.6429032719243,17,R,RS
2005,22,BUF,1451.3205073628612,17,R,RS
2005,23,NYJ,1441.1747041986262,17,R,RS
2005,24,STL,1439.4381507106812,17,R,RS
2005,25,CLE,1434.8436502789511,17,R,RS
2005,26,ARI,1432.8028077143617,17,R,RS
2005,27,DET,1421.98552115018,17,R,RS
2005,28,TEN,1416.6328982442576,17,R,RS
2005,29,OAK,1411.8596430802622,17,R,RS
2005,30,NO,1384.2591492728573,17,R,RS
2005,31,HOU,1382.3003510412543,17,R,RS
2005,32,SF,1376.1324229081658,17,R,RS
